utr,amount,value_date,narration
UTR900138,8823.49,2026-07-06,Razorpay payout PAY-5144
UTR900139,16558.65,2026-07-10,Razorpay payout PAY-5145
UTR900140,24403.19,2026-07-12,Razorpay payout PAY-5146
UTR900141,10565.24,2026-07-16,Razorpay payout PAY-5147
UTR900142,18314.48,2026-07-18,Razorpay payout PAY-5148
UTR900143,4510.85,2026-07-22,Razorpay payout PAY-5149
UTR900144,12251.39,2026-07-24,Razorpay payout PAY-5150
UTR900145,20077.33,2026-07-28,Razorpay payout PAY-5151
UTR900146,6243.79,2026-07-30,Razorpay payout PAY-5152
UTR900147,13997.43,2026-08-03,Razorpay payout PAY-5153
UTR900148,21736.21,2026-08-05,Razorpay payout PAY-5154
UTR900149,7943.15,2026-08-09,Razorpay payout PAY-5155
UTR900150,15751.48,2026-07-02,Razorpay payout PAY-5156
UTR900151,23504.34,2026-07-06,Razorpay payout PAY-5157
UTR900152,9681.36,2026-07-08,Razorpay payout PAY-5158
UTR900153,17423.57,2026-07-12,Razorpay payout PAY-5159
UTR900154,3634.91,2026-07-14,Razorpay payout PAY-5160
UTR900155,11425.62,2026-07-18,Razorpay payout PAY-5161
UTR900156,19182.89,2026-07-20,Razorpay payout PAY-5162
UTR900157,5364.31,2026-07-24,Razorpay payout PAY-5163
UTR900158,13110.92,2026-07-26,Razorpay payout PAY-5164
UTR900159,20842.68,2026-08-03,Razorpay payout PAY-5165
UTR900160,7100.74,2026-08-07,Razorpay payout PAY-5166
UTR900161,14861.43,2026-08-08,Razorpay payout PAY-5167
UTR900162,22607.27,2026-08-12,Razorpay payout PAY-5168
UTR900163,8798.28,2026-08-16,Razorpay payout PAY-5169
UTR900164,16534.44,2026-07-08,Razorpay payout PAY-5170
UTR900165,24378.89,2026-07-12,Razorpay payout PAY-5171
UTR900166,10539.98,2026-07-16,Razorpay payout PAY-5172
UTR900167,18290.22,2026-07-17,Razorpay payout PAY-5173
UTR900168,4486.62,2026-07-21,Razorpay payout PAY-5174
UTR900169,12226.2,2026-07-25,Razorpay payout PAY-5175
UTR900170,20053.03,2026-07-26,Razorpay payout PAY-5176
UTR900171,6219.51,2026-07-30,Razorpay payout PAY-5177
UTR900172,13973.17,2026-08-03,Razorpay payout PAY-5178
UTR900173,21711.98,2026-08-04,Razorpay payout PAY-5179
UTR900174,7918.2,2026-08-03,Razorpay payout PAY-5180
UTR900175,15727,2026-08-07,Razorpay payout PAY-5181
UTR900176,23480.29,2026-08-09,Razorpay payout PAY-5182
UTR900177,9655.96,2026-07-04,Razorpay payout PAY-5183
UTR900178,17399.57,2026-07-06,Razorpay payout PAY-5184
UTR900179,3610.54,2026-07-10,Razorpay payout PAY-5185
UTR900180,11401.54,2026-07-12,Razorpay payout PAY-5186
UTR900181,19158.44,2026-07-16,Razorpay payout PAY-5187
UTR900182,5339.31,2026-07-18,Razorpay payout PAY-5188
UTR900183,13086.52,2026-07-22,Razorpay payout PAY-5189
UTR900184,20818.47,2026-07-24,Razorpay payout PAY-5190
UTR900185,20818.47,2026-07-24,Razorpay payout PAY-5191
UTR900186,7075.46,2026-07-28,Razorpay payout PAY-5192
UTR900187,7075.46,2026-07-28,Razorpay payout PAY-5193
UTR900188,14837.15,2026-07-30,Razorpay payout PAY-5194
UTR900189,14837.15,2026-07-30,Razorpay payout PAY-5195
UTR900190,22583.01,2026-08-03,Razorpay payout PAY-5196
UTR900191,22583.01,2026-08-03,Razorpay payout PAY-5197
UTR900192,8774.05,2026-08-05,Razorpay payout PAY-5198
UTR900193,8774.05,2026-08-05,Razorpay payout PAY-5199
UTR900194,16510.23,2026-08-09,Razorpay payout PAY-5200
UTR900195,16510.23,2026-08-09,Razorpay payout PAY-5201
