payment_id,order_ref,gross_amount,fee,settled_amount,settlement_date
PAY-5035,ORD-1040,3841.43,84.51,3756.92,2026-08-09
PAY-5036,ORD-1041,11760.8,211.69,11549.11,2026-07-02
PAY-5037,ORD-1042,19679.17,373.9,19305.27,2026-07-06
PAY-5038,ORD-1043,5598.54,111.97,5486.57,2026-07-08
PAY-5039,ORD-1044,13517.91,283.88,13234.03,2026-07-12
PAY-5040,ORD-1045,21436.28,471.6,20964.68,2026-07-14
PAY-5041,ORD-1046,7355.65,132.4,7223.25,2026-07-18
PAY-5042,ORD-1047,15274.02,290.21,14983.81,2026-07-20
PAY-5043,ORD-1048,23193.39,463.87,22729.52,2026-07-24
PAY-5044,ORD-1049,9112.76,191.37,8921.39,2026-07-26
PAY-5045,ORD-1050,17031.13,374.68,16656.45,2026-07-30
PAY-5046,ORD-1051,24950.5,449.11,24501.39,2026-08-01
PAY-5047,ORD-1052,10869.87,206.53,10663.34,2026-08-05
PAY-5048,ORD-1053,18788.24,375.76,18412.48,2026-08-07
PAY-5049,ORD-1054,4707.61,98.86,4608.75,2026-08-11
PAY-5050,ORD-1055,12626.98,277.79,12349.19,2026-07-04
PAY-5051,ORD-1056,20545.35,369.82,20175.53,2026-07-08
PAY-5052,ORD-1057,6464.72,122.83,6341.89,2026-07-10
PAY-5053,ORD-1058,14383.09,287.66,14095.43,2026-07-14
PAY-5054,ORD-1059,22302.46,468.35,21834.11,2026-07-16
PAY-5055,ORD-1060,8221.83,180.88,8040.95,2026-07-20
PAY-5056,ORD-1061,16140.2,290.52,15849.68,2026-07-22
PAY-5057,ORD-1062,24059.57,457.13,23602.44,2026-07-26
PAY-5058,ORD-1063,9978.94,199.58,9779.36,2026-07-28
PAY-5059,ORD-1064,17897.31,375.84,17521.47,2026-08-01
PAY-5060,ORD-1065,3816.68,83.97,3732.71,2026-08-03
PAY-5061,ORD-1066,11735.05,211.23,11523.82,2026-08-07
PAY-5062,ORD-1067,19654.42,373.43,19280.99,2026-08-09
PAY-5063,ORD-1068,5573.79,111.48,5462.31,2026-07-04
PAY-5064,ORD-1069,13492.16,283.34,13208.82,2026-07-06
PAY-5065,ORD-1070,21411.53,471.05,20940.48,2026-07-10
PAY-5066,ORD-1071,7330.9,131.96,7198.94,2026-07-12
PAY-5067,ORD-1072,15249.27,289.74,14959.53,2026-07-16
PAY-5068,ORD-1073,23168.64,463.37,22705.27,2026-07-18
PAY-5069,ORD-1074,9087.01,190.83,8896.18,2026-07-22
PAY-5070,ORD-1075,17006.38,374.14,16632.24,2026-07-24
PAY-5071,ORD-1076,24925.75,448.66,24477.09,2026-07-28
PAY-5072,ORD-1077,10844.12,206.04,10638.08,2026-07-30
PAY-5073,ORD-1078,18763.49,375.27,18388.22,2026-08-03
PAY-5074,ORD-1079,4682.86,98.34,4584.52,2026-08-05
PAY-5075,ORD-1080,12601.23,277.23,12324,2026-08-09
PAY-5076,ORD-1081,20520.6,369.37,20151.23,2026-07-02
PAY-5077,ORD-1082,6439.97,122.36,6317.61,2026-07-06
PAY-5078,ORD-1083,14358.34,287.17,14071.17,2026-07-08
PAY-5079,ORD-1084,22277.71,467.83,21809.88,2026-07-12
PAY-5080,ORD-1085,8196.08,180.31,8015.77,2026-07-14
PAY-5081,ORD-1086,16115.45,290.08,15825.37,2026-07-18
PAY-5082,ORD-1087,24034.82,456.66,23578.16,2026-07-20
PAY-5083,ORD-1088,9953.19,199.06,9754.13,2026-07-24
PAY-5084,ORD-1089,17872.56,375.32,17497.24,2026-07-26
PAY-5085,ORD-1090,3791.93,83.42,3708.51,2026-07-30
PAY-5086,ORD-1091,11710.3,210.79,11499.51,2026-08-01
PAY-5087,ORD-1092,19629.67,372.96,19256.71,2026-08-05
PAY-5088,ORD-1093,5548.04,110.96,5437.08,2026-08-07
PAY-5089,ORD-1094,13467.41,282.82,13184.59,2026-08-11
PAY-5090,ORD-1095,21386.78,470.51,20916.27,2026-07-04
PAY-5091,ORD-1096,7305.15,131.49,7173.66,2026-07-08
PAY-5092,ORD-1097,15224.52,289.27,14935.25,2026-07-10
PAY-5093,ORD-1098,23143.89,462.88,22681.01,2026-07-14
PAY-5094,ORD-1099,9062.26,190.31,8871.95,2026-07-16
PAY-5095,ORD-1100,16981.63,373.6,16608.03,2026-07-20
PAY-5096,ORD-1101,24900,448.2,24451.8,2026-07-22
PAY-5097,ORD-1102,10819.37,205.57,10613.8,2026-07-26
PAY-5098,ORD-1103,18738.74,374.77,18363.97,2026-07-28
PAY-5099,ORD-1104,4657.11,97.8,4559.31,2026-08-01
PAY-5100,ORD-1105,12576.48,276.68,12299.8,2026-08-03
PAY-5101,ORD-1106,20495.85,368.93,20126.92,2026-08-07
PAY-5102,ORD-1107,6414.22,121.87,6292.35,2026-08-09
PAY-5103,ORD-1108,14333.59,286.67,14046.92,2026-07-04
PAY-5104,ORD-1109,22252.96,467.31,21785.65,2026-07-06
PAY-5105,ORD-1110,8171.33,179.77,7991.56,2026-07-10
PAY-5106,ORD-1111,16090.7,289.63,15801.07,2026-07-12
PAY-5107,ORD-1112,24009.07,456.17,23552.9,2026-07-16
PAY-5108,ORD-1113,9928.44,198.57,9729.87,2026-07-18
PAY-5109,ORD-1114,17847.81,374.8,17473.01,2026-07-22
PAY-5110,ORD-1115,3766.18,82.86,3683.32,2026-07-24
PAY-5111,ORD-1116,11685.55,210.34,11475.21,2026-07-28
PAY-5112,ORD-1117,19604.92,372.49,19232.43,2026-07-30
PAY-5113,ORD-1118,5523.29,110.47,5412.82,2026-08-03
PAY-5114,ORD-1119,13442.66,282.3,13160.36,2026-08-05
PAY-5115,ORD-1120,21361.03,469.94,20891.09,2026-08-09
PAY-5116,ORD-1121,7280.4,131.05,7149.35,2026-07-02
PAY-5117,ORD-1122,15199.77,288.8,14910.97,2026-07-06
PAY-5118,ORD-1123,23118.14,462.36,22655.78,2026-07-08
PAY-5119,ORD-1124,9037.51,189.79,8847.72,2026-07-12
PAY-5120,ORD-1125,16956.88,373.05,16583.83,2026-07-14
PAY-5121,ORD-1126,24875.25,447.75,24427.5,2026-07-18
PAY-5122,ORD-1127,10794.62,205.1,10589.52,2026-07-20
PAY-5123,ORD-1128,18713.99,374.28,18339.71,2026-07-24
PAY-5124,ORD-1129,4632.36,97.28,4535.08,2026-07-26
PAY-5125,ORD-1130,12551.73,276.14,12275.59,2026-07-30
PAY-5126,ORD-1131,20470.1,368.46,20101.64,2026-08-01
PAY-5127,ORD-1132,6389.47,121.4,6268.07,2026-08-05
PAY-5128,ORD-1133,14308.84,286.18,14022.66,2026-08-07
PAY-5129,ORD-1134,22227.21,466.77,21760.44,2026-08-11
PAY-5130,ORD-1135,8146.58,179.22,7967.36,2026-07-04
PAY-5131,ORD-1136,16065.95,289.19,15776.76,2026-07-08
PAY-5132,ORD-1137,23984.32,455.7,23528.62,2026-07-10
PAY-5133,ORD-1138,9903.69,198.07,9705.62,2026-07-14
PAY-5134,ORD-1139,17822.06,374.26,17447.8,2026-07-16
PAY-5135,ORD-1140,3741.43,82.31,3659.12,2026-07-20
PAY-5136,ORD-1141,11660.8,209.89,11450.91,2026-07-22
PAY-5137,ORD-1142,19579.17,372,19207.17,2026-07-26
PAY-5138,ORD-1143,5498.54,109.97,5388.57,2026-07-28
PAY-5139,ORD-1144,13417.91,281.78,13136.13,2026-08-01
PAY-5140,ORD-1145,21336.28,469.4,20866.88,2026-08-03
PAY-5141,ORD-1146,7255.65,130.6,7125.05,2026-08-07
PAY-5142,ORD-1147,15174.02,288.31,14885.71,2026-08-09
PAY-5143,ORD-1148,23093.39,461.87,22631.52,2026-07-04
PAY-5144,ORD-1149,9012.76,189.27,8823.49,2026-07-06
PAY-5145,ORDX-1150,16931.13,372.48,16558.65,2026-07-10
PAY-5146,ORD-1151_X,24850.5,447.31,24403.19,2026-07-12
PAY-5147,ORD-1152-X,10769.87,204.63,10565.24,2026-07-16
PAY-5148,OD-1153,18688.24,373.76,18314.48,2026-07-18
PAY-5149,ORDX-1154,4607.61,96.76,4510.85,2026-07-22
PAY-5150,ORD-1155_X,12526.98,275.59,12251.39,2026-07-24
PAY-5151,ORD-1156-X,20445.35,368.02,20077.33,2026-07-28
PAY-5152,OD-1157,6364.72,120.93,6243.79,2026-07-30
PAY-5153,ORDX-1158,14283.09,285.66,13997.43,2026-08-03
PAY-5154,ORD-1159_X,22202.46,466.25,21736.21,2026-08-05
PAY-5155,ORD-1160-X,8121.83,178.68,7943.15,2026-08-09
PAY-5156,OD-1161,16040.2,288.72,15751.48,2026-07-02
PAY-5157,ORDX-1162,23959.57,455.23,23504.34,2026-07-06
PAY-5158,ORD-1163_X,9878.94,197.58,9681.36,2026-07-08
PAY-5159,ORD-1164-X,17797.31,373.74,17423.57,2026-07-12
PAY-5160,OD-1165,3716.68,81.77,3634.91,2026-07-14
PAY-5161,ORDX-1166,11635.05,209.43,11425.62,2026-07-18
PAY-5162,ORD-1167_X,19554.42,371.53,19182.89,2026-07-20
PAY-5163,ORD-1168-X,5473.79,109.48,5364.31,2026-07-24
PAY-5164,OD-1169,13392.16,281.24,13110.92,2026-07-26
PAY-5165,ORD-1170,21311.53,468.85,20842.68,2026-08-03
PAY-5166,ORD-1171,7230.9,130.16,7100.74,2026-08-07
PAY-5167,ORD-1172,15149.27,287.84,14861.43,2026-08-08
PAY-5168,ORD-1173,23068.64,461.37,22607.27,2026-08-12
PAY-5169,ORD-1174,8987.01,188.73,8798.28,2026-08-16
PAY-5170,ORD-1175,16906.38,371.94,16534.44,2026-07-08
PAY-5171,ORD-1176,24825.75,446.86,24378.89,2026-07-12
PAY-5172,ORD-1177,10744.12,204.14,10539.98,2026-07-16
PAY-5173,ORD-1178,18663.49,373.27,18290.22,2026-07-17
PAY-5174,ORD-1179,4582.86,96.24,4486.62,2026-07-21
PAY-5175,ORD-1180,12501.23,275.03,12226.2,2026-07-25
PAY-5176,ORD-1181,20420.6,367.57,20053.03,2026-07-26
PAY-5177,ORD-1182,6339.97,120.46,6219.51,2026-07-30
PAY-5178,ORD-1183,14258.34,285.17,13973.17,2026-08-03
PAY-5179,ORD-1184,22177.71,465.73,21711.98,2026-08-04
PAY-5180,ORD-1185,8096.08,178.11,7917.97,2026-08-03
PAY-5181,ORD-1186,16015.45,288.28,15727.17,2026-08-07
PAY-5182,ORD-1187,23934.82,454.76,23480.06,2026-08-09
PAY-5183,ORD-1188,9853.19,197.06,9656.13,2026-07-04
PAY-5184,ORD-1189,17772.56,373.22,17399.34,2026-07-06
PAY-5185,ORD-1190,3691.93,81.22,3610.71,2026-07-10
PAY-5186,ORD-1191,11610.3,208.99,11401.31,2026-07-12
PAY-5187,ORD-1192,19529.67,371.06,19158.61,2026-07-16
PAY-5188,ORD-1193,5448.04,108.96,5339.08,2026-07-18
PAY-5189,ORD-1194,13367.41,280.72,13086.69,2026-07-22
PAY-5190,ORD-1195,21286.78,468.31,20818.47,2026-07-24
PAY-5191,ORD-1195,21286.78,468.31,20818.47,2026-07-24
PAY-5192,ORD-1196,7205.15,129.69,7075.46,2026-07-28
PAY-5193,ORD-1196,7205.15,129.69,7075.46,2026-07-28
PAY-5194,ORD-1197,15124.52,287.37,14837.15,2026-07-30
PAY-5195,ORD-1197,15124.52,287.37,14837.15,2026-07-30
PAY-5196,ORD-1198,23043.89,460.88,22583.01,2026-08-03
PAY-5197,ORD-1198,23043.89,460.88,22583.01,2026-08-03
PAY-5198,ORD-1199,8962.26,188.21,8774.05,2026-08-05
PAY-5199,ORD-1199,8962.26,188.21,8774.05,2026-08-05
PAY-5200,ORD-1200,16881.63,371.4,16510.23,2026-08-09
PAY-5201,ORD-1200,16881.63,371.4,16510.23,2026-08-09
